id,name,diet,course,state,worth,cook_time,ingredients,region,flavor,year
72,Aloo methi,Vegetarian,Main Course,Punjab,9502512,40,"Potato, fenugreek leaves, chillies, salt, oil",North,Bitter,2014
73,Aloo shimla mirch,Vegetarian,Main Course,Punjab,8945567,40,"Potato, shimla mirch, garam masala, amchur powder, salt",North,Spicy,2014
74,Bhatura,Vegetarian,Main Course,Punjab,8942031,20,"Chole, rava, yogurt, plain flour, baking soda",North,Spicy,2014
75,Bhindi masala,Vegetarian,Main Course,Punjab,8521526,30,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",North,Spicy,2014
76,Biryani,Non-vegetarian,Main Course,Telangana,8268511,120,"Chicken thighs, basmati rice, star anise, sweet, green chillies",South,Spicy,2014
77,Butter chicken,Non-vegetarian,Main Course,NCT of Delhi,7954526,35,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",North,Spicy,2014
78,Chana masala,Vegetarian,Main Course,Punjab,7894536,30,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",North,Spicy,2014
79,Chapati,Vegetarian,Main Course,Maharashtra,7632520,10,"Whole wheat flour, olive oil, hot water, all purpose flour",West,None specified,2014
80,Chicken razala,Non-vegetarian,Main Course,West Bengal,7565006,35,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",East,Spicy,2014
81,Chicken Tikka masala,Non-vegetarian,Main Course,Punjab,7520535,50,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",North,Spicy,2014
82,Chicken Tikka,Non-vegetarian,Starter,Punjab,7484513,45,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",North,Spicy,2014
83,Chole bhature,Vegetarian,Main Course,Punjab,7372060,30,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",North,Spicy,2014
84,Daal baati churma,Vegetarian,Main Course,Rajasthan,7270533,90,"Moong dal, masoor dal, chana dal, wheat flour, almond",West,Spicy,2014
85,Daal puri,Vegetarian,Main Course,West Bengal,7269005,30,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",East,Spicy,2014
86,Dal makhani ,Vegetarian,Main Course,Punjab,7258508,60,"Red kidney beans, urad dal, cream, garam masala, chili powder",North,Sweet,2014
87,Dal tadka,Vegetarian,Main Course,Punjab,7133503,30,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",North,Spicy,2014
88,Dum aloo,Vegetarian,Main Course,Jammu & Kashmir,6992014,50,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",North,Spicy,2014
92,Kadai paneer,Vegetarian,Snack,Maharashtra,6821132,30,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",West,Spicy,2014
93,Kadhi pakoda,Vegetarian,Snack,Chhattisgarh,6601787,60,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",Central,Spicy,2014
94,Karela bharta,Vegetarian,Snack,Uttar Pradesh,6573019,50,"Moong dal, rava, garam masala, dough, fennel seeds",North,Spicy,2014
95,Khichdi,Vegetarian,Main Course,Punjab,6504524,20,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",North,Spicy,2014
96,Kofta,Vegetarian,Main Course,Haryana,6442006,40,"Besan, garam masala powder, gram flour, ginger, curry leaves",North,Spicy,2014
97,Kulfi falooda,Vegetarian,Main Course,Punjab,6441535,25,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",North,Bitter,2014
98,Lauki ke kofte,Vegetarian,Main Course,-1,6429060,40,"Moong dal, green peas, ginger, tomato, green chili",No Region,Spicy,2014
99,Lauki ki subji,Vegetarian,Main Course,Uttar Pradesh,6295937,20,"Paneer, potato, cream, corn flour, garam masala",North,Spicy,2014
100,Litti chokha,Vegetarian,Dessert,-1,5846004,60,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",No Region,Sweet,2014
101,Makki di roti sarson da saag,Vegetarian,Main Course,Uttar Pradesh,5732531,30,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",North,Spicy,2014
102,Misi roti,Vegetarian,Main Course,-1,5661038,30,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",No Region,Spicy,2014
103,Mushroom do pyaza,Vegetarian,Main Course,Bihar,5565004,30,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",North,Spicy,2014
104,Mushroom matar,Vegetarian,Main Course,Punjab,5542546,30,"Palak, makki atta, mustard green, garam masala, ginger",North,Spicy,2014
105,Naan,Vegetarian,Main Course,Punjab,5330066,30,"Whole wheat flour, chickpea flour, green chilies",North,Spicy,2014
106,Navrattan korma,Vegetarian,Main Course,Punjab,5276521,40,"Mushroom, malai, garam masala, ginger, capsicum",North,Spicy,2014
107,Palak paneer,Vegetarian,Main Course,Punjab,5248513,40,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",North,Spicy,2014
108,Paneer butter masala,Vegetarian,Main Course,Punjab,5222007,40,"Whole wheat flour, honey, butter, garlic",North,None specified,2014
109,Paneer tikka masala,Vegetarian,Main Course,Uttar Pradesh,5150073,40,"Green beans, potatoes, khus khus, low fat, garam masala powder",North,Spicy,2014
111,Panjeeri,Vegetarian,Main Course,Punjab,5147982,25,"Cottage cheese, palak, cream, garam masala, butter",North,Spicy,2014
113,Paratha,Vegetarian,Main Course,Punjab,5123560,45,"Paneer, whipping cream, garam masala, cashew nuts, butter",North,Spicy,2014
114,Pattor,Vegetarian,Main Course,Punjab,5069549,30,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",North,Spicy,2014
115,Pindi chana,Vegetarian,Snack,-1,4959519,120,"Kala chana, mashed potato, boondi, sev, lemon",No Region,Spicy,2014
116,Rajma chaval,Vegetarian,Dessert,Uttar Pradesh,4931554,90,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",North,Sweet,2014
117,Rongi,Vegetarian,Snack,-1,4794516,30,"Urad dal, sev, lemon juice, chopped tomatoes",No Region,Spicy,2014
119,Sattu ki roti,Vegetarian,Main Course,Punjab,4766514,20,"Wheat flour, butter, potato, coriander",North,Spicy,2014
120,Shahi paneer,Vegetarian,Main Course,Rajasthan,4743528,40,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",West,Spicy,2014
121,Shahi tukra,Vegetarian,Main Course,Punjab,4740516,30,"Fennel, tea bags, tomato, kasuri methi, cinnamon",North,Spicy,2014
122,Vegetable jalfrezi,Vegetarian,Main Course,-1,4721522,30,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",North,Spicy,2014
123,Tandoori Chicken,Non-vegetarian,Main Course,Punjab,4672019,30,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",North,None specified,2014
124,Tandoori Fish Tikka,Non-vegetarian,Snack,-1,4638027,30,"Potatoes, green peas, garam masala, ginger, dough",No Region,Spicy,2014
126,Avial,Vegetarian,Main Course,Bihar,4637011,45,"Sattu, atta, dough, filling, mustard oil",North,Spicy,2014
127,Bisi bele bath,Vegetarian,Main Course,Punjab,4594541,45,"Cottage cheese, malai, garam masala, ginger, tomato",North,Spicy,2014
128,Currivepillai sadam ,Vegetarian,Dessert,Telangana,4591018,20,"Rose water, milk, white bread slices, saffron, almonds",South,Sweet,2014
133,Kaara kozhambu,Vegetarian,Main Course,Punjab,4507562,-1,"Baby corn, french beans, garam masala, ginger, carrot",North,Spicy,2014
134,Keerai kootu,Vegetarian,Main Course,Punjab,4507015,30,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",North,Spicy,2014
135,Keerai masiyal,Vegetarian,Starter,Punjab,4467037,-1,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",North,Spicy,2014
136,Keerai sadam,Vegetarian,Snack,Andhra Pradesh,4407466,20,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",South,Spicy,2014
137,Keerai poriyal,Vegetarian,Main Course,Kerala,4275030,30,"Raw banana, elephant foot yam, long beans, tindora, urad dal",South,Spicy,2014
138,Beef Fry,Non-vegetarian,Main Course,Karnataka,4239520,60,"Split pigeon peas, chana dal, urad dal, green peas, french beans",South,Spicy,2014
139,Kootu,Vegetarian,Main Course,Tamil Nadu,4237032,15,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",South,Spicy,2014
140,Kos kootu,Vegetarian,Snack,-1,4219009,20,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",South,Spicy,2014
141,Koshambri,Vegetarian,Snack,Tamil Nadu,4174508,20,"Rice flour, hot water, grated coconut",South,Spicy,2014
142,Kothamali sadam,Vegetarian,Snack,-1,4068538,20,"Split urad dal, urad dal, idli rice, thick poha, rock salt",South,Spicy,2014
143,Kuzhakkattai,Vegetarian,Snack,Kerala,4053522,90,"Carrot, yellow mustard, red chilli, black salt",South,None specified,2014
144,Kuzhambu,Vegetarian,Main Course,Tamil Nadu,4035063,30,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",South,Spicy,2014
146,Pachadi,Vegetarian,Main Course,Tamil Nadu,4033013,25,"Moong dal, chana dal, spinach, urad dal, coconut oil",South,Spicy,2014
147,Paniyaram,Vegetarian,Main Course,Tamil Nadu,4008590,20,"Urad dal, curry leaves, sugar, mustard seeds, spinach",South,Spicy,2014
149,Paravannam,Vegetarian,Main Course,Tamil Nadu,3881535,-1,"Greens, tomato, mustard seeds, fenugreek seeds",South,Spicy,2014
150,Payasam,Vegetarian,Main Course,Tamil Nadu,3807087,30,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",South,Spicy,2014
151,Paruppu sadam,Vegetarian,Main Course,Kerala,3792531,20,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",South,Spicy,2014
153,Poriyal,Vegetarian,Main Course,Tamil Nadu,3762538,-1,"Chana dal, urad dal, potato, beans, peas",South,Spicy,2014
154,Puli sadam,Vegetarian,Main Course,Tamil Nadu,3762079,20,"Moong dal, chana dal, cabbage, tamarind, curry leaves",South,Spicy,2014
155,Rasam,Vegetarian,Main Course,Karnataka,3718010,35,"Moong dal, cucumber, curry leaves, green chili, lemon juice",South,Spicy,2014
156,Puttu,Vegetarian,Main Course,Tamil Nadu,3563525,40,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",South,Spicy,2014
157,Sambar,Vegetarian,Main Course,Tamil Nadu,3498504,45,"Sesame oil, raw rice, jaggery, grated coconut",South,Spicy,2014
158,Sandige,Vegetarian,Main Course,Tamil Nadu,3474524,60,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",South,Spicy,2014
159,Sevai,Vegetarian,Snack,-1,3474012,30,"Chana dal, urad dal, potatoes, idli rice, thick poha",South,Spicy,2014
160,Thayir sadam,Vegetarian,Main Course,-1,3465006,20,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",South,None specified,2014
161,Theeyal,Vegetarian,Main Course,Tamil Nadu,3450001,20,"Yogurt, ginger, curry leaves, baking soda, green chilli",South,None specified,2014
164,Chicken Varuval,Non-vegetarian,Snack,Kerala,3439505,35,"Lentils, black pepper, vegetable oil",South,Spicy,2014
166,Amti,Vegetarian,Main Course,Kerala,3390042,45,"Raw rice,  jaggery, milk",South,Spicy,2014
167,Zunka,Vegetarian,Dessert,-1,3389504,25,"Rice, cashew nuts, milk, raisins, sugar",South,Sweet,2014
168,Kolim Jawla,Non-vegetarian,Main Course,Tamil Nadu,3369451,-1,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",South,None specified,2014
169,Saath,Vegetarian,Snack,Andhra Pradesh,3366542,40,"Green moong beans, rice flour",South,Spicy,2014
170,Bajri no rotlo,Vegetarian,Main Course,Tamil Nadu,3344013,10,"Chana dal, urad dal, beans, coconut, mustard",South,Spicy,2014
171,Coconut vadi,Vegetarian,Main Course,Tamil Nadu,3342529,30,"Urad dal, lemon, tamarind, cooked rice, curry leaves",South,None specified,2014
172,Bhakri,Vegetarian,Main Course,-1,3288507,25,"Tomato, curry leaves, garlic, mustard seeds, hot water",South,Spicy,2014
173,Bombil fry,Non-vegetarian,Main Course,Kerala,3260049,-1,"Brown rice flour, sugar, grated coconut",South,None specified,2014
177,Copra paak,Vegetarian,Main Course,-1,3241571,30,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",South,Spicy,2014
178,Daal Dhokli,Vegetarian,Main Course,Karnataka,3189003,30,"Thin rice flakes, black sesame seeds, curry leaves",South,None specified,2014
181,Dalithoy,Vegetarian,Main Course,-1,3163505,20,"Sevai, parboiled rice, steamer",South,None specified,2014
183,Dudhi halwa,Vegetarian,Main Course,Tamil Nadu,3146009,30,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",South,None specified,2014
184,Gatta curry,Vegetarian,Main Course,Kerala,3131013,20,"Coconut, whole red beans, masala, sesame oil, tamarind",South,None specified,2014
185,Gud papdi,Vegetarian,Snack,-1,3109024,20,"Chana dal, urad dal, thick poha, tomato, butter",South,Spicy,2014
188,Halvasan,Vegetarian,Snack,-1,3103021,-1,"Urad dal, ginger, curry leaves, green chilies, black pepper",South,Spicy,2014
189,Jeera Aloo,Vegetarian,Main Course,Tamil Nadu,3091001,30,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",South,Spicy,2014
190,Kansar,Vegetarian,Snack,-1,3063518,40,"Chana dal, urad dal, ginger, curry leaves, sugar",No Region,Spicy,2014
191,Keri no ras,Vegetarian,Main Course,Maharashtra,3054908,10,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",West,Spicy,2014
195,Laapsi,Vegetarian,Main Course,Maharashtra,3048521,40,"Gram flour, mustard, garlic, turmeric, red chilli",West,Spicy,2014
196,Koshimbir,Vegetarian,Main Course,Maharashtra,3013518,10,"Baingan, fish, coconut oil, fresh coconut, ginger",West,Spicy,2014
197,Methi na Gota,Vegetarian,Main Course,Gujarat,3004556,30,"Urad dal, potatoes, wheat flour, sooji",West,Spicy,2014
198,Mohanthal,Vegetarian,Main Course,Gujarat,2955024,45,"Wheat flour, pearl millet flour, hot water",West,Spicy,2014
201,Pav Bhaji,Vegetarian,Dessert,Maharashtra,2917015,40,"Condensed milk, mawa, desiccated coconut, almonds, cashews",West,Sweet,2014
202,Puri Bhaji,Vegetarian,Main Course,Maharashtra,2907022,30,"Jowar flour, sesame seeds",West,None specified,2014
204,Sev khamani,Vegetarian,Main Course,Maharashtra,2901004,30,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",West,Spicy,2014
205,Sev tameta,Vegetarian,Snack,Maharashtra,2900514,30,"Rice flour, sesame, plain flour, turmeric, red chilli",West,Spicy,2014
207,Sukhdi,Vegetarian,Snack,Gujarat,2849018,20,"Citric acid, fry, raisins, sugar, chana daal",West,Spicy,2014
