STATE,REGION,High_F,Low_F,High_C,Low_C,AVG_F,AVG_C,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,AVG_Rain,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Jammu and Kashmir,Northern,67,45,20,7,56,13.5,77.97727273,91.64545455,119.9863636,82.26818182,65.13636364,53.60454545,172.0909091,167.9181818,78.25454545,34.18181818,27.15909091,46.39545455,1016.618182,84.71818182,169.6227273,267.3909091,471.8681818,107.7363636
Jharkhand,Eastern,85,65,29,18,75,23.5,15.8375,16.32083333,16.51666667,18.6625,45.875,198.775,333.8541667,310.3166667,250.9583333,79.40416667,10.2125,6.704166667,1303.4375,108.6197917,32.15833333,81.05416667,1093.904167,96.32083333
Karnataka,Southern,85.5,66,29.5,19,75.75,24.25,2.026666667,2.696666667,7.163333333,36.77333333,88.16666667,204.88,280.7,209.2566667,164.0766667,143.3566667,44.35,11.17,1194.616667,99.55138889,4.723333333,132.1033333,858.9133333,198.8766667
Kerala,Southern,88,74,31,23,81,27,9.542857143,16.2,31.07142857,109.0214286,244.7285714,658.7071429,724.3285714,417.95,245.1571429,290.9071429,151.5357143,38.24285714,2937.392857,244.7827381,25.74285714,384.8214286,2046.142857,480.6857143
Madhya Pradesh,Northern,89,65,32,18.5,77,25.25,12.892,9.158,7.486,3.27,7.006,114.686,311.088,331.048,181.574,35.27,10.042,8.79,1032.31,86.02583333,22.05,17.762,938.396,54.102
Maharashtra,Western,89.6,67.2,32.2,19.4,78.4,25.8,4.791428571,3.474285714,5.997142857,6.974285714,19.92571429,240.98,388.8942857,314.5857143,191.3114286,75.64857143,18.58857143,7.417142857,1278.588571,106.5490476,8.265714286,32.89714286,1135.771429,101.6542857
Manipur,Eastern,89,69.8,33.75,21,79.4,27.375,22.6,55.12222222,82.41111111,150.7666667,213.3777778,487.0888889,498.0555556,451.8,278.4,189.2222222,56,11.78888889,2496.633333,208.0527778,77.72222222,446.5555556,1715.344444,257.0111111
Meghalaya,Eastern,69.5,55.5,21,13,62.5,17,14.9,21.68571429,74.75714286,211.2285714,430.0428571,757.2285714,857.7428571,584.3714286,454.7,225.5714286,39.57142857,11.04285714,3682.842857,306.9035714,36.58571429,716.0285714,2654.042857,276.1857143
Mizoram,Eastern,74,58,23,15,66,19,11.56666667,29.94444444,96.25555556,152.6,321.3222222,429.8333333,452.3111111,440.5888889,372.1555556,229.8222222,64.63333333,15.28888889,2616.322222,218.0268519,41.51111111,570.1777778,1694.888889,309.7444444
Nagaland,Eastern,72,58,22,15,65,18.5,18.48181818,27.67272727,63.01818182,134.2272727,213.3818182,340.3181818,395.0363636,350.8727273,227.6272727,121.1545455,38.55454545,10.35454545,1940.7,161.725,46.15454545,410.6272727,1313.854545,170.0636364
Orissa,Eastern,90,71.5,32.5,22,80.75,27.25,10.81,22.37,27.45333333,36.65333333,70.72333333,212.5166667,332.3166667,363.3466667,238.3366667,116.0566667,30.4,5.136666667,1466.12,122.1766667,33.18,134.83,1146.516667,151.5933333
Punjab,Northern,86.5,61.5,30,16,74,23,25.965,24.48,25.9,12.16,16.165,46.325,190.61,172.415,92.835,21.7,6.085,13.905,648.545,54.04541667,50.445,54.225,502.185,41.69
Rajasthan,Western,90.5,68,32.5,20,79.25,26.25,5.348484848,4.721212121,3.815151515,3.303030303,10.62727273,54.0969697,195.2787879,194.5545455,86.14545455,14.43030303,6.254545455,3.021212121,581.5969697,48.46641414,10.06969697,17.74545455,530.0757576,23.70606061
Sikkim,Eastern,77,57.2,25,14,67.1,19.5,47.55,77.3,130.6,206.9,323.55,483.8,499.2,434.6,373.15,209.85,30.95,20.9,2838.35,236.5291667,124.85,661.05,1790.75,261.7
Tamil Nadu,Southern,91.25,74.75,32.75,23.75,83,28.25,18.90625,14.021875,18.06875,42.596875,67.53125,50.321875,72.60625,91.571875,116.340625,186.928125,184.625,96.4875,960.00625,80.00052083,32.928125,128.196875,330.840625,468.040625
Tripura,Eastern,87,68,31,20,77.5,25.5,11.225,33.65,93.625,220.75,391.575,465.425,414.975,356.475,260.35,176.65,43.3,11.125,2479.125,206.59375,44.875,705.95,1497.225,231.075
Uttar Pradesh,Northern,87,68,31,20,77.5,25.5,17.18309859,13.15774648,10.10704225,5.318309859,15.56197183,90.77042254,280.0676056,291.2323944,175.0746479,45.52535211,4.576056338,6.870422535,955.4450704,79.62042254,30.34084507,30.98732394,837.1450704,56.97183099
Uttaranchal,Northern,73.5,53.5,23.5,11.5,63.5,17.5,49.89230769,49.59230769,51.66923077,29.81538462,58.39230769,165.7153846,432.7923077,426.7846154,204.4769231,58.83846154,9.238461538,20.83076923,1558.038462,129.8365385,99.48461538,139.8769231,1229.769231,88.90769231
West Bengal,Eastern,88,72.5,31,22.5,80.25,26.75,15.93846154,18.13717949,28.11987179,64.64423077,164.0326923,346.2916667,464.325641,393.9198718,341.3403846,123.4564103,17.99230769,7.220512821,1985.419231,165.4516026,34.07564103,256.7967949,1545.877564,148.6692308
